Mit welcher Funktion startet man einen neuen Thread in Rust?;std::thread::spawn
Warum nutzt man oft das move-Schlüsselwort vor dem Closure bei thread::spawn?;Um Besitz von Variablen aus dem aktuellen Scope in den neuen Thread zu übertragen.
Welcher Datentyp schützt veränderbare Daten vor gleichzeitigem Schreibzugriff in mehreren Threads?;Mutex<T>
Wie greift man auf den Wert innerhalb eines Mutex<T> zu?;Mit der Methode .lock().unwrap()
Welche Datenstruktur ermöglicht den Nachrichtenaustausch zwischen Threads?;Channels (std::sync::mpsc)
Wofür steht das Kürzel mpsc bei Channels?;Multiple Producer, Single Consumer (Viele Sender, ein Empfänger)
Welche zwei Teile gibt eine mpsc::channel()-Funktion zurück?;(sender, receiver)
Welches Schlüsselwort markiert eine Funktion als asynchron?;async (z. B. async fn hole_daten())
Wie wartet man in einer async-Funktion auf das Ergebnis einer asynchronen Operation?;Mit dem Schlüsselwort .await am Ende des Aufrufs
Welche asynchrone Laufzeitumgebung (Runtime) ist der Industriestandard in Rust?;Tokio (#[tokio::main])
Was versteht man unter Frontmatter in Markdown-Dateien?;Ein Kopfbereich (meist zwischen ---) mit Metadaten im YAML- oder TOML-Format.
Aus welchen Hauptphasen besteht die Pipeline eines Static Site Generators (SSG)?;File-Traversal, Parsing, Template-Rendering und Dateiexport.
Welches Crate wird in Rust häufig zum Parsen von Markdown zu HTML verwendet?;pulldown-cmark
